order	time	location	type	details	lng	lat
661	21:00	Brook Drive, Se11, London, UK	IB	3x2 paving damaged	-0.106037	51.49811
662	21:00	6 Boulcott Street, E1, London, UK	IB	Timber shed, 8x7 used as store damaged with contents	-0.042152	51.512524
663	21:00	Burdett Road, E3, London, UK	IB	10x8 wooden hoarding damaged	-0.032269	51.520543
664	21:01	12 Kingsmead Road, Streatham, SW16, London, UK	IB	4x2 roof damage	-0.139795	51.426537
665	21:01	Turguand Street, Walworth, SE17, London, UK	IB	2x1 roof damage	-0.094683	51.490875
666	21:02	Georgette Place Greenwich SE10, London, UK	EB	South Met Gas Company: Gas destroyed and carriage way (15x10)	-0.00837	51.476412
667	21:02	47 Orient Street, Kennington SE11, London, UK	IB	Motor garage, 80x60 one floor building, 2/3 content damaged	-0.10543	51.49436
668	21:03	41 Church Road, Brixton, SW2, London, UK	IB	IB in yard	-0.113281	51.441232
669	21:03	Turner's Rd, London, UK	IB	1x1 paving damage	-0.032409	51.516686
670	21:03	Acland Street and Acland Street Streatfild Street, London, UK	EB	20x15 roadway and paving damage	-0.107106	51.525323
671	21:04	St. Paul's Road, Islington, n1, London, UK	IB	front room on third floor damaged, including roof and ceiling	-0.087727	51.546085
672	21:05	Harrow Road, w2, London, UK	EB	gas mains and 20x 20 of paving destroyed	-0.181019	51.520721
673	21:05	42 Norman Road, Greenwich, SE10, London, UK	EB	Wharfingers, 30x20 quayside damage	-0.017599	51.478663
674	21:05	293 Leighham Court Road, Streatham, SW16, London, UK	IB	4x3 grass burned	-0.114541	51.428265
675	21:05	218 Leigham Court Road, Streatham, Sw16, London, UK	IB	5x3 of lath and plaster, ceiling damaged by fire and . First floor and rest of ditto anf contents damaged	-0.114576	51.429012
676	21:06	190 Underhill Road, East Dulwich, SE22, London, UK	IB	Back room on 2nd floor and contents damaged	-0.064098	51.45086
677	21:06	 Garratt Lane, Tooting SW17, London, UK	IB	R.E Gordon Printing shop. Office damaged	-0.177784	51.432134
678	21:07	Crownstone Road, Brixton, SW2, London, UK	IB	IB on road	-0.115252	51.455914
679	21:09	Longfellow Road e3, London, UK	IB	2x1 paving damage	-0.025726	51.575632
680	21:10	110 Kimberlet Avenue, Camberwell SE15, London, UK	IB	Back room on 1st floor and contents damaged	-0.052126	51.466123
681	21:10	Riverside Greenwich SE10, London, UK	IB	Dumb barge Cabden, Elizabeth, Hallett. D. H. Hallett & Co. Pipers Wharf, Riverside Greenwich SE10. Three vessels each 60 tons gross (unladen) slightly damaged by fire.	-0.00284	51.484945
684	21:10	1 Uffington Road, West Noorwood, SE27, London, UK	IB	2x1 roof damage	-0.112173	51.429683
685	21:10	900 Garratt Lane, Tooting, SW17, London, UK	IB	Scullery on 1st floor damaged	-0.172106	51.42936
686	21:10	112 Downton Avenue, Streatham Hill, SW2, London, UK	EB	2 houses damaged	-0.119374	51.4393
687	21:10	Hillside Road, Tulse Hill, SW2, London, UK	IB	Artisians and General Dwelling Ltd. Tennis net damaged	-0.115163	51.439168
688	21:12	52 Palace Road, Tulse Hill, SW2, London, UK	IB	IB burned out in garden	-0.115056	51.439998
689	21:12	Leigham Courrt Road, Streatham SW16, London, UK	IB	IB burned out in garden	-0.126243	51.437394
691	21:13	4 Knatchbull Road, Camberwell, SE5, London, UK	EB	20x6 feet of brick wall damaged	-0.097878	51.474428
692	21:13	20 County Grove,  SE5, London, UK	EB	Our Lady of Mercy Convent: Building damaged	-0.098246	51.474962
695	21:16	Longfellow Road e3, London, UK	IB	2x1 paving damage	-0.025822	51.575308
696	21:21	Sandmere Road, Clapham, SW4, London, UK	IB	IB burned out in street	-0.126725	51.462416
697	21:29	Acre Lane, Brixton, SW2, London, UK	-	IB on road unignited	-0.121626	51.459831
698	21:32	22-24, Pllumstead Road, Plumstead SE18, London, UK	IB	two buildings damged	0.069981	51.481975
699	21:32	29-65 Haddo Street, Greenwich SE10, London, UK	EB	18 cottages damaged	-0.013732	51.480051
700	21:32	253 Leigham Court Road, Streatham, SW16, London, UK	IB	H. Day & Sons Furniture depositories: IB on road	-0.114318	51.430032
701	21:34	Flat 5, 17, Cranworth Gardens, Brixton, SW9, London, UK	IB	6x4 roof damaged	-0.113814	51.475561
702	21:35	Clinton Road, Tower Hamlets London E3, London, UK	-	Many buildings and contents in these thoroughfares damaged	-0.037415	51.527068
703	21:37	Southwark, London SE1, London, UK	IB	2x1 paving damage	-0.087309	51.502594
704	21:37	Newington Causeway, London SE1, , London, UK	EB	30x20 roadway damaged	-0.098786	51.497638
705	21:40	Caldwell Street, Brixton SW9, London, UK	EB	26 private houses damaged	-0.114405	51.476885
706	21:40	Caldwell St, London, UK	EB	20x20 roadway damaged	-0.115349	51.476979
707	21:40	Caldwell St, London, UK	EB	South Met Gas. 4" main fractured	-0.115692	51.477019
708	21:40	157 Ernest Street, E1, London, UK	IB	Top floor damaged	-0.041846	51.5216
710	21:42	Odessa St, Southwark, London SE16, London, UK	IB	2 dumb barges sverely damaged	-0.033822	51.497614
711	21:46	Bazeley Street, Poplar E14, London, UK	IB	Number of IB burned out on road	-0.010981	51.51011
712	21:50	4 Southey Road, Brixton SW9, London, UK	EB	3 private houses damaged	-0.113144	51.476199
713	21:50	Southey Road, Brixton SW9, London, UK	EB	20x20 roadway damaged	-0.113766	51.476226
714	21:50	Southey Road, Brixton SW9, London, UK	EB	South Met Gas. 4" main fractured	-0.114217	51.476253
715	21:51	146-150, Brixton Road, SW9, London, UK	EB	3 private houses damaged	-0.112609	51.475156
718	21:51	Pratt Walk, London, UK	EB & IB	Owned by, Met. Police and Southern Railway. Range of 3 floor buildings, 300x200, used as garages and stores	-0.117062	51.4946
719	22:00	Tunnel Avenue, Greenwich, SE10, London, UK	IB	Dumbarge "Alice" Humphery and Grey. A vessell of about 75 tons, laden with timber, severely damaged by the fire and submergedand 20x15 of wooden quay slightly damaged	0.005576	51.494179
720	22:00	56 Rogers Road, Tooting, SW17, London, UK	IB	IB in yard	-0.173114	51.43176
721	22:00	Deptford Church Street, SE8, London, UK	IB	Rag Merchants, Quantity of stock destroyed. 	-0.022804	51.478061
722	22:00	18 Hereford Street, Bethnal Green, e2, London, UK	IB	Front room on 1st floor and contents damaged, roof part off (2x3)	-0.066174	51.524363
723	22:02	Devons RD E3, London, UK	IB	2x1 ft of paving damaged	-0.018941	51.521477
724	22:03	Cantrell RD E3, London, UK	IB	2x1 ft of tarmac damaged	-0.026983	51.521637
727	22:09	Sandford Street SE14, London, UK	IB	1/4 acre of grass burned. 	-0.041256	51.48042
728	22:09	Culloden Street, E14, London, UK	IB	Number of IB burned out on road	-0.007832	51.513671
729	22:09	239 East India Dock Road, Poplar, E14, London, UK	IB	Back room on 1st floor damaged. 	-0.018937	51.5109
731	22:17	Nunhead Lane, Camberwell SE15, London, UK	EB	A building, owned by wax paper manufacturers, severely damaged by explosion.	-0.060899	51.464263
732	22:21	Lollard Street SE11, London, UK	IB	IB burned out in street	-0.113554	51.492215
